case_id,mode,n,seed,iteration,residual_abs,residual_relative_to_initial
large_value_n256_seed2,large_value,256,2,8,2.503955034567421e-09,4.0359603933514336e-16
large_value_n256_seed3,large_value,256,3,0,6557793.5500581125,1.0
large_value_n256_seed3,large_value,256,3,1,246.592406839802,3.7602953639432094e-05
large_value_n256_seed3,large_value,256,3,2,0.014678157071324577,2.2382767861294604e-09
large_value_n256_seed3,large_value,256,3,3,7.87315500575267e-07,1.2005798818846473e-13
large_value_n256_seed3,large_value,256,3,4,2.4363595949039474e-09,3.715212405371251e-16
large_value_n256_seed3,large_value,256,3,5,2.1900148961022764e-09,3.3395605997429874e-16
large_value_n256_seed3,large_value,256,3,6,2.4731514008815768e-09,3.7713163459677087e-16
large_value_n256_seed3,large_value,256,3,7,2.4283719729945074e-09,3.7030320556111256e-16
large_value_n256_seed3,large_value,256,3,8,2.37732381510738e-09,3.6251885591706577e-16
large_value_n512_seed1,large_value,512,1,0,14410744.712320264,1.0
large_value_n512_seed1,large_value,512,1,1,1719.2631553424173,0.00011930425454505189
large_value_n512_seed1,large_value,512,1,2,0.262145197787288,1.8190954251182498e-08
large_value_n512_seed1,large_value,512,1,3,6.451661393501448e-05,4.476979866269986e-12
large_value_n512_seed1,large_value,512,1,4,3.68274598166213e-08,2.5555556323981076e-15
large_value_n512_seed1,large_value,512,1,5,5.351719078864012e-09,3.7137005655846744e-16
large_value_n512_seed1,large_value,512,1,6,5.222784550071261e-09,3.6242294581806823e-16
large_value_n512_seed1,large_value,512,1,7,5.237117841726217e-09,3.634175711438991e-16
large_value_n512_seed1,large_value,512,1,8,5.484141739269259e-09,3.8055921805211557e-16
large_value_n512_seed2,large_value,512,2,0,25912909.814987894,1.0
large_value_n512_seed2,large_value,512,2,1,1726.7197761414964,6.663550286208192e-05
large_value_n512_seed2,large_value,512,2,2,0.2517379196782526,9.714768487043809e-09
large_value_n512_seed2,large_value,512,2,3,0.0002586216389573454,9.980416742227845e-12
large_value_n512_seed2,large_value,512,2,4,3.5582013298441065e-07,1.3731384685273983e-14
large_value_n512_seed2,large_value,512,2,5,6.933617308974611e-09,2.675738602294769e-16
large_value_n512_seed2,large_value,512,2,6,7.106640519967058e-09,2.7425096489382346e-16
large_value_n512_seed2,large_value,512,2,7,7.0135400723100585e-09,2.7065814385127306e-16
large_value_n512_seed2,large_value,512,2,8,6.887284811824474e-09,2.657858519555725e-16
large_value_n512_seed3,large_value,512,3,0,8980179.690624129,1.0
large_value_n512_seed3,large_value,512,3,1,475.5142831567376,5.295153321410755e-05
large_value_n512_seed3,large_value,512,3,2,0.054380878618676555,6.055655954797163e-09
large_value_n512_seed3,large_value,512,3,3,6.621472775294257e-06,7.373430157758969e-13
large_value_n512_seed3,large_value,512,3,4,6.4570096304021715e-09,7.190290008499155e-16
large_value_n512_seed3,large_value,512,3,5,6.58434366206674e-09,7.332084533833112e-16
large_value_n512_seed3,large_value,512,3,6,6.662116669436696e-09,7.418689713294227e-16
large_value_n512_seed3,large_value,512,3,7,6.443846405375574e-09,7.175631922046453e-16
large_value_n512_seed3,large_value,512,3,8,6.704300450261148e-09,7.465664030376651e-16
